invst_type	icode	iunitbuyprice	iquantity	kforeverholdyn
1	208140	3993	27	0
1	215100	2188	26	1
1	220630	3298	38	0
1	226400	3311	33	0
1	234920	6601	16	0
1	241690	5292	20	0
1	246690	3451	16	1
1	247540	60245	1	1
1	251270	127360	1	0
1	252670	2925	83	0
1	256150	19856	6	0
1	265560	13000	4	1
1	286940	42124	2	0
1	33637K	17637	6	0
1	35320K	5955	10	1
1	37550K	38550	1	1
1	378850	2393	12	1
1	950160	21300	5	0
1	530031	1680	45	0
